family,objective,prop,target,expected,existing,missing,corrupted,missing_seeds,corrupted_seeds
uni,UNI-OBJECTIVE-R1,LOGP,1.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R1,LOGP,2.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R1,LOGP,3.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R1,LOGP,4.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R1,TPSA,20.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R1,TPSA,40.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R1,TPSA,60.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R1,TPSA,80.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R2,LOGP,1.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R2,LOGP,2.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R2,LOGP,3.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R2,LOGP,4.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R2,TPSA,20.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R2,TPSA,40.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R2,TPSA,60.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R2,TPSA,80.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R3,LOGP,1.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R3,LOGP,2.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R3,LOGP,3.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R3,LOGP,4.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R3,TPSA,20.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R3,TPSA,40.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R3,TPSA,60.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R3,TPSA,80.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R4,LOGP,1.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R4,LOGP,2.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R4,LOGP,3.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R4,LOGP,4.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R4,TPSA,20.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R4,TPSA,40.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R4,TPSA,60.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R4,TPSA,80.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R5,LOGP,1.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R5,LOGP,2.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R5,LOGP,3.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R5,LOGP,4.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R5,TPSA,20.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R5,TPSA,40.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R5,TPSA,60.0,100,100,0,0,,
uni,UNI-OBJECTIVE-R5,TPSA,80.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R1,LOGP-TPSA,1.0-20.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R1,LOGP-TPSA,2.0-40.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R1,LOGP-TPSA,3.0-60.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R1,LOGP-TPSA,4.0-80.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R2,LOGP-TPSA,1.0-20.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R2,LOGP-TPSA,2.0-40.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R2,LOGP-TPSA,3.0-60.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R2,LOGP-TPSA,4.0-80.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R3,LOGP-TPSA,1.0-20.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R3,LOGP-TPSA,2.0-40.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R3,LOGP-TPSA,3.0-60.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R3,LOGP-TPSA,4.0-80.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R4,LOGP-TPSA,1.0-20.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R4,LOGP-TPSA,2.0-40.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R4,LOGP-TPSA,3.0-60.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R4,LOGP-TPSA,4.0-80.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R5,LOGP-TPSA,1.0-20.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R5,LOGP-TPSA,2.0-40.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R5,LOGP-TPSA,3.0-60.0,100,100,0,0,,
multi,MULTI-OBJECTIVE-R5,LOGP-TPSA,4.0-80.0,100,100,0,0,,
